,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Adjusted Rand Index,Normalized Mutual Info,N Clusters
K-Means,0.47169889195614606,0.6465569373533256,1105.4610286621723,0.938601955026009,0.9121904606404538,3.0
GMM (EM),0.4718799210925002,0.631816563817065,1073.6042991508198,0.8182211482433274,0.8091247609032723,3.0
DBSCAN,,,,0.003923833677888703,0.009390190849495833,2.0
Hierarchical,0.4512862276687139,0.6594621321264554,952.7685015361985,0.3684499593454732,0.5160214370423879,3.0
