,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Adjusted Rand Index,Normalized Mutual Info,N Clusters
K-Means,0.8367213726727385,0.2295688088807216,10066.723442579801,1.0,1.0,4.0
GMM (EM),0.8367213726727385,0.2295688088807216,10066.723442579801,1.0,1.0,4.0
DBSCAN,0.7633328379461927,0.3486186223323892,2376.4352452992193,0.7132599329822882,0.8571428571428571,3.0
Hierarchical,0.8367213726727385,0.2295688088807216,10066.7234425798,1.0,1.0,4.0
