accuracy,loss,val_accuracy,val_loss
0.8368322849273682,0.4554447829723358,0.8710693120956421,0.157757967710495
0.9262994527816772,0.10804068297147751,0.9938456416130066,0.07661477476358414
0.996494472026825,0.03131614997982979,0.9947570562362671,0.0193081833422184
0.9958795309066772,0.012901411391794682,0.997344970703125,0.006844394374638796
0.9980276226997375,0.005377639085054398,0.9979522824287415,0.005903803277760744
0.9985730051994324,0.00420523714274168,0.9985707402229309,0.00416050897911191
0.9984850883483887,0.0040360065177083015,0.9983632564544678,0.004838344641029835
0.9987912178039551,0.0034848118666559458,0.9984344244003296,0.004001914989203215
0.998818039894104,0.003406844800338149,0.9987040162086487,0.0038204991724342108
0.9989141821861267,0.0031057733576744795,0.999218761920929,0.002788653364405036
