,frozen_layers,percent_frozen,accuracy
0,0.0,0.0,0.6905
4,4.0,21.052631578947366,0.673
9,9.0,47.368421052631575,0.663
14,14.0,73.68421052631578,0.584
19,19.0,100.0,0.4575
