accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.9538833498954773,0.15081502497196198,0.9883000254631042,0.03724604845046997,0.0010000000474974513,1
0.9822333455085754,0.05705379322171211,0.9718000292778015,0.08653014153242111,0.0010000000474974513,2
0.9866333603858948,0.04399930685758591,0.989799976348877,0.029466470703482628,0.0010000000474974513,3
0.98785001039505,0.03818769380450249,0.9922000169754028,0.02309056930243969,0.0010000000474974513,4
0.9893500208854675,0.033568114042282104,0.9944000244140625,0.01831704191863537,0.0010000000474974513,5
0.9904333353042603,0.03074539639055729,0.9921000003814697,0.022416144609451294,0.0010000000474974513,6
0.9922166466712952,0.024899719282984734,0.9945999979972839,0.01650547981262207,0.0010000000474974513,7
0.9923333525657654,0.024892238900065422,0.9927999973297119,0.02003098838031292,0.0010000000474974513,8
0.9937000274658203,0.020049216225743294,0.9936000108718872,0.02399103157222271,0.0010000000474974513,9
0.9942666888237,0.018568726256489754,0.9940999746322632,0.018356692045927048,0.0010000000474974513,10
0.9959999918937683,0.012405124492943287,0.995199978351593,0.01511608250439167,0.0005000000237487257,11
0.9971666932106018,0.009253125637769699,0.9952999949455261,0.015395651571452618,0.0005000000237487257,12
0.9973499774932861,0.007812366355210543,0.9957000017166138,0.016206230968236923,0.0005000000237487257,13
0.9977999925613403,0.006857713684439659,0.9954000115394592,0.01761905662715435,0.0005000000237487257,14
0.998116672039032,0.005949263460934162,0.9954000115394592,0.01681286096572876,0.0002500000118743628,15
