,class_0,class_1,class_2,Micro-average,Macro-average
Linear Discriminant Analysis,1.0,0.9552669552669553,0.9837606837606837,0.9748799725651577,0.988067488067488
Quadratic Discriminant Analysis,1.0,1.0,1.0,0.9994855967078189,1.0
Gaussian Naive Bayes,1.0,0.9971139971139972,1.0,0.9991426611796982,0.9995189995189996
