,Accuracy,Balanced Accuracy,Precision (macro),Recall (macro),F1-score (macro),CV Accuracy (mean),CV Accuracy (std)
Linear Discriminant Analysis,0.9814814814814815,0.9841269841269842,0.9791666666666666,0.9841269841269842,0.981117230527144,0.992,0.016000000000000014
Quadratic Discriminant Analysis,0.9814814814814815,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944,0.7743333333333333,0.08194578153334749
Gaussian Naive Bayes,0.9814814814814815,0.9814814814814815,0.9848484848484849,0.9814814814814815,0.9827242524916944,0.9513333333333334,0.03066666666666666
